SHEET,PARAMETERS,Symbol parameters description in expression view & customizer GUI ,IndSense alternative description
AdcEnable,"The expression defining whether or not the ADC 
functionality should be present in the component. For 
CapSense component, it is always false. For ADC 
component, it is always true. For CapSense_ADC 
component, it is true if the total count of required 
ADC channels (AdcTotalChannels parameter) is greater 
than 0, and false otherwise.",Local parameter ,
AdcAmuxbInputEnable,"Enable the ADC channel that does not require a 
dedicated port pin input.  When disabled, all ADC input 
channels have port pins assigned.  When enabled, the 
ADC channel selected by the AdcSelectAmuxBusChannel 
parameter does not use a dedicated pin for input, 
instead it takes an input from AMUXBUS-B.",Expression view ,
AdcAzEnable,"Enables the auto-zero time period for AZ prior to fine 
initialization in ADC conversion.",Expression view ,
AdcAzTime,"Sets an auto-zero time period for AZ prior to fine 
initialization in ADC converson (in cycles). 
Applicable only if AdcAzEnable parameter is enabled. 
The range of valid values is 1-255.",Expression view ,
AdcPinAlias,"Contains a comma-separated list of pin aliases for ADC 
input channels.  Used by the AdcInput pins on the 
component schematic.",Expression view ,
AdcResolution,ADC resolution selection.,ADC tab ,
AdcSelectAmuxBusChannel,"Selects the ADC channel that does not require a 
dedicated port pin input. The range of valid values is 
from 0 to $AdcTotalChannels-1.",Expression view ,
AdcTotalChannels,"The total input channels to ADC. The range of valid 
values is from 1 (10-bit ADC component) or 0 (CapSense_ADC 
component) to 10. The ADC functionality of CapSense_ADC 
component is disabled when a parameter value is set to 
0.",ADC tab ,
AdcDedicatedChannels,"The expression providing the total count of dedicated 
ADC channels. When AdcAmuxbInputEnable is set to false, 
the parameter value equals AdcTotalChannels, otherwise, 
it is decremented by one.",Expression view ,
AdcVref,"The reference voltage used for ADC operation, in Volts. 
The range of valid values is from 1.2V to VDDA - 0.6V, 
where VDDA is the input voltage of VDDA pin as set in 
the Design-Wide Resources (*.cydwr) System editor. 
When set to -1 (default), the reference voltage (VREF) 
depends on VDDA:  VDDA < 2.733V: VREF = 1.2V  2.733V <= 
VDDA < 4.5V: VREF = 2.133V  VDDA >= 4.5V: VREF = 3.84V 
The macro generated by the API customizer reflects 
VREFGEN gain register value.",Expression view ,
BaselineType,"Selects the type of baseline needed for design.  IIR 
(default) - Selects the IIR filter based baseline 
algorithm.  CY (Bucket) Baseline - Selects Cypress' 
""bucket"" method for the baseline algorithm.",Expression view ,
BlockOffAfterScanEnable,"Enable the turning-off block after a scan to save 
additional power.  Disabled (default) - The SENSE_HW block 
will be always turned ON.   This allows the other 
components (IDAC) work along with component in 
a project.  Enabled - The SENSE_HW block will be turned ON 
only during a scan.",Expression view ,
CSD0IdacGainV1,"Selects the IDAC gain setting for CSD sensing on CSD 
block 0.  Applicable only for CSDv1 IP.",Expression view ,
CSD0IdacGainV2,"Selects the IDAC gain setting for CSD sensing on CSD 
block 0.  Applicable only for CSDv2 IP.",Expression view ,
CSD0PinAlias,"Contains a comma-separated list of the electrode 
aliases for CSD widgets on CSD block 0.  Used by the 
Sns/Sns0 pins on the component schematic.",Expression view ,
CSD0PinCount,"Contains the total count of the CSD electrodes on CSD 
block 0.  Used by the Sns/Sns0 pins on the component 
schematic.",Expression view ,
CSD0ShieldDelayV1,"Configures a delay between the sensor signal and shield 
electrode signal for phase alignment.  Most designs 
work with the No Delay option, and it is the 
recommended value.  Applicable only if the shield 
electrode is enabled.  Applicable to the first CSD 
block if CSD2x is enabled.",CSD Settings tab ,
CSD0ShieldDelayV2,"Configures a delay between the sensor signal and shield 
electrode signal for phase alignment.  Most designs 
work with the No Delay option, and it is the 
recommended value.  Applicable only if the shield 
electrode is enabled.  Applicable to the first CSD 
block if CSD2x is enabled.",CSD Settings tab ,
CSD0ShieldEnable,"A shield electrode is used to reduce the sensor 
parasitic capacitance, enable water-tolerant   CapSense 
designs, and enhance the detection range for Proximity 
sensors.  When the shield electrode is disabled, all 
configurable parameters associated with the shield 
electrode are hidden.  Applicable to the first CSD 
block if CSD2x is enabled.",CSD Settings tab ,
CSD0ShieldPrechargeSource,"Selects the initialization source for the shield tank 
electrode, when the shield tank (Csh) capacitor is 
enabled.  Two options are available:  - Vref - 
precharge the shield tank by connecting Vref to the Csh 
capacitor.  - IO Buffer - precharge shield tank by 
connecting the VDD supply to the Csh capacitor and 
turning it off   using feedback system when the Csh 
voltage reaches Vref.  This option is available only 
when the Csh capacitor is assigned to one of the 
dedicated Csh pins   (refer to device datasheet for pin 
details) and these dedicated pins are available for Csh 
when the CSX sensing method is not used in the project. 
The recommended source of precharge is IO buffer. 
Applicable only if the shield electrode is enabled. 
Applicable to the first CSD block if CSD2x is enabled.",CSD Settings tab ,
CSD0ShieldTankEnable,"A shield tank capacitor is used to increase the drive 
capacity of the shield electrode driver and recommended 
for enabling when the shield electrode capacitance is 
higher than 100 pF.  The recommended value for a shield 
tank capacitor is 10 nF/5v/X7R or an NPO capacitor. 
Applicable only if the shield electrode is enabled. 
Applicable to the first CSD block if CSD2x is enabled.",CSD Settings tab ,
CSD0TotalShieldCount,"Select the number of shield electrodes required in the 
design.   Most designs work with one dedicated shield 
electrode; however, some designs require multiple 
dedicated shield electrodes to ease the PCB layout 
routing or to minimize the PCB real-estate used for the 
shield layer.  The minimum value is 0 (i.e. shield 
signal could be routed to sensors using Inactive sensor 
connection parameter) and the maximum value is equal to 
the total number of CapSense-enabled port pins 
available for the selected device.  Applicable only if 
the shield electrode is enabled.  Applicable to the 
first CSD block if CSD2x is enabled.",CSD Settings tab ,
CSD1IdacGainV1,"Selects the IDAC gain setting for CSD sensing on CSD 
block 1.  Applicable only for CSDv1 IP.  Applicable 
only if CSD2x is enabled.",Expression view ,
CSD1IdacGainV2,"Selects the IDAC gain setting for CSD sensing on CSD 
block 1.  Applicable only for CSDv2 IP.  Applicable 
only if CSD2x is enabled.",Expression view ,
CSD1PinAlias,"Contains a comma-separated list of electrode aliases 
for the CSD widgets on CSD block 1.  Used by the Sns1 
pin on the component schematic.  Applicable only if 
CSD2x is enabled.",Expression view ,
CSD1PinCount,"Contains the total count of the CSD electrodes on CSD 
block 1.  Used by the Sns1 pin on the component 
schematic.  Applicable only if CSD2x is enabled.",Expression view ,
CSD1ShieldDelayV1,"Configures a delay between the sensor signal and shield 
electrode signal for phase alignment.  Most designs 
work with the No Delay option, and it is the 
recommended value.  Applicable only if the shield 
electrode is enabled.  Applicable to the second CSD 
block if CSD2x is enabled.",CSD Settings tab ,
CSD1ShieldDelayV2,"Configures a delay between the sensor signal and shield 
electrode signal for the phase alignment.  Most designs 
work with the No Delay option, and it is the 
recommended value.  Applicable only if the shield 
electrode is enabled.  Applicable to the second CSD 
block if CSD2x is enabled.",CSD Settings tab ,
CSD1ShieldEnable,"A shield electrode is used to reduce the sensor 
parasitic capacitance, enable water-tolerant CapSense 
designs and enhance the detection range for Proximity 
sensors.  Applicable to the second CSD block if CSD2x 
is enabled.",CSD Settings tab ,
